case,activity,resource,timestamp,Variant,Variant index,(case) IDofConceptCase,(case) Includes_subCases,responsibleactor,sumleges,(case) caseProcedure,casestatus,casetype,landregisterid,lastphase,parts,requestComplete,(case) termName,action_code,activityNameNL,concept:name,dateFinished,dateStop,dueDate,lifecycle:transition,monitoringResource,planned,question
5857296,procedure change,3273854,2012-10-23 16:40:23.000,Variant 859,859,5857477.0,J,560464.0,151.5714,,O,557669,5857295.0,Beschikking verzonden,Bouw,False,Termijn bezwaar en beroep 1,01_HOOFD_330,procedure verandering,01_HOOFD_330,10/23/12 16:40,,,complete,3273854,,FALSE
4617358,register submission date request,560925,2012-02-08 00:00:00.000,Variant 714,714,,J,560464.0,4084.0906,,O,557669,,Besluit genomen,"Bouw,Handelen in strijd met regels RO,Sloop",False,Termijn bezwaar en beroep 1,01_HOOFD_010,registratie datum binnenkomst aanvraag,01_HOOFD_010,02/13/12 10:00,,2012-02-16T09:22:10+01:00,complete,2670601,2012-02-14T09:22:10+01:00,EMPTY
7358567,phase decision taken,560890,2013-06-24 00:00:00.000,Variant 973,973,7359228.0,J,4901428.0,449.6562,,G,557669,,Beschikking verzonden,"Bouw,Handelen in strijd met regels RO",False,Termijn bezwaar en beroep 1,01_HOOFD_495,fase besluit genomen,01_HOOFD_495,06/24/13 00:00,,,complete,560890,2013-06-25T12:53:52+02:00,EMPTY
5038333,forward to the competent authority,560872,2012-05-21 09:01:30.000,Variant 781,781,5038494.0,J,4901428.0,5975.437,,G,557669,,Besluit genomen,"Bouw,Milieu (neutraal wijziging)",True,Termijn bezwaar en beroep 1,02_DRZ_010,doorsturen aan bevoegd gezag,02_DRZ_010,06/14/12 17:44,,2012-05-26T09:01:26+02:00,complete,2670601,2012-05-22T09:01:26+02:00,FALSE
5246759,procedure change,560912,2012-08-07 10:05:40.000,Variant 816,816,5247680.0,J,560912.0,,,G,557669,,Zaak archiveren,Bouw,True,,01_HOOFD_180,procedure verandering,01_HOOFD_180,08/07/12 10:09,,,complete,560912,2012-08-08T10:05:38+02:00,FALSE
4059770,procedure change,560894,2012-04-24 09:40:02.000,Variant 629,629,4059913.0,J,560464.0,5449.017,,O,557669,,Besluit genomen,"Bouw,Kap,Sloop,Monument",True,Termijn tot besluit omgezet,01_HOOFD_330,procedure verandering,01_HOOFD_330,04/24/12 09:42,,,complete,560894,2012-04-25T09:39:57+02:00,FALSE
9548111,send letter in progress,2670601,2014-03-05 00:00:00.000,Variant 1066,1066,,,560464.0,747.2689,,O,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_200,brief in behandeling versturen,01_HOOFD_200,03/05/14 00:00,,,complete,2670601,2014-03-06T13:30:18+01:00,FALSE
11717156,request complete,11744364,2014-11-05 00:00:00.000,Variant 24,24,11717358.0,,560464.0,276.20895,,O,557669,,Beschikking verzonden,"Bouw,Kap",True,Termijn bezwaar en beroep 1,08_AWB45_005,aanvraag volledig,08_AWB45_005,11/05/14 00:00,,,complete,2670601,2014-11-06T09:42:28+01:00,TRUE
10548783,submit decision,560872,2014-06-16 00:00:00.000,Variant 52,52,,,4901428.0,217.03035,,G,557669,,Zaak afgehandeld,Kap,True,,01_HOOFD_491,beschikking voorleggen,01_HOOFD_491,06/16/14 00:00,,,complete,4676959,2014-06-17T15:38:42+02:00,FALSE
4697157,forward to the competent authority,560912,2012-03-05 16:43:18.000,Variant 728,728,,J,560912.0,113.67855,,G,557669,,Procedure afgebroken,Bouw,True,,02_DRZ_010,doorsturen aan bevoegd gezag,02_DRZ_010,03/05/12 17:18,,2012-03-10T16:43:16+01:00,complete,2670601,2012-03-06T16:43:16+01:00,FALSE
3886793,enter senddate acknowledgement,560925,2011-09-26 12:13:25.000,Variant 595,595,3890396.0,J,560950.0,,,G,557669,,Aanvraag ontvangen,Milieu (vergunning),True,Termijn tot besluit,01_HOOFD_030_2,invoeren verzenddatum ontvangstbevestiging,01_HOOFD_030_2,09/26/11 12:21,,2011-09-28T12:13:25+02:00,complete,560950,2011-09-27T12:13:25+02:00,EMPTY
5063668,generating decision environmental permit,560890,2012-06-12 12:44:20.000,Variant 786,786,,J,4901428.0,814.5909,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_490_4,genereren beschikking omgevingsvergunning,01_HOOFD_490_4,06/12/12 12:44,,,complete,3273854,2012-06-13T09:33:04+02:00,EMPTY
4506906,procedure change after completeness,2670601,2012-10-02 15:42:49.000,Variant 689,689,4507047.0,J,560464.0,2464.0046,,O,557669,,Beschikking verzonden,Bouw,False,Termijn bezwaar en beroep 1,01_HOOFD_196,procedureverandering na volledigheid,01_HOOFD_196,10/02/12 15:44,,,complete,2670601,2012-09-04T17:35:25+02:00,FALSE
3851782,register submission date request,560872,2011-09-05 00:00:00.000,Variant 584,584,,J,4901428.0,383.15192,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_010,registratie datum binnenkomst aanvraag,01_HOOFD_010,09/15/11 10:49,,2011-09-18T10:33:01+02:00,complete,560872,2011-09-16T10:33:01+02:00,EMPTY
3396537,extend procedure term,3273854,2011-05-10 15:35:45.000,Variant 471,471,3399048.0,J,4901428.0,276.504,,G,557669,,Vergunning verleend,Sloop,True,Termijn bezwaar en beroep 1,06_VD_010,verlengen proceduretermijn,06_VD_010,05/10/11 15:49,,,complete,3273854,2011-05-11T15:30:36+02:00,FALSE
10432793,create subcases content,2670601,2014-08-11 00:00:00.000,Variant 213,213,10432975.0,,2670601.0,299.7708,,O,557669,,Beschikking verzonden,Handelen in strijd met regels RO,False,Termijn bezwaar en beroep 1,01_HOOFD_250_0,deelzaken inhoudelijkheid aanmaken,01_HOOFD_250_0,08/11/14 00:00,,,complete,2670601,2014-08-12T11:57:39+02:00,FALSE
11080766,record date of decision environmental permit,560912,2014-11-11 00:00:00.000,Variant 243,243,11080907.0,,560464.0,1448.4004,,O,557669,,Beschikking verzonden,Bouw,False,Termijn bezwaar en beroep 1,01_HOOFD_490_5,registreren datum besluit omgevingsvergunning2,01_HOOFD_490_5,11/06/14 00:00,,,complete,2670601,2014-10-30T10:26:30+01:00,EMPTY
3998742,term for supplying missing data,3273854,2011-11-22 14:02:10.000,Variant 616,616,,J,4901428.0,0.0,,G,557669,,Vergunning verleend,"Bouw,Sloop",False,Termijn bezwaar en beroep 1,08_AWB45_010,termijn aanleveren ontbrekende gegevens,08_AWB45_010,11/22/11 14:13,,,complete,3273854,2011-11-23T14:02:09+01:00,42
8319149,enter senddate procedure term extension,2670601,2013-12-09 00:00:00.000,Variant 137,137,8320330.0,J,560464.0,1739.6486,,O,557669,,Besluit onherroepelijk,Bouw,False,,06_VD_060_3,verzenddatum beschikking verlengen proceduretermijn invullen,06_VD_060_3,12/09/13 00:00,,,complete,2670601,2013-12-10T15:18:34+01:00,EMPTY
6799546,article 35 applies,3273854,2013-04-05 09:06:10.000,Variant 930,930,6801267.0,J,4901428.0,2908.2236,,G,557669,6799545.0,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,11_AH_II_030,artikel 35 van toepassing,11_AH_II_030,04/05/13 09:07,,,complete,3273854,2013-04-06T09:06:08+02:00,FALSE
10845919,procedure change,2670601,2014-08-15 00:00:00.000,Variant 224,224,10846680.0,,560464.0,289.44406,,O,557669,10845918.0,Besluit onherroepelijk,Aanleg (Uitvoeren werk of werkzaamheid),True,Termijn bezwaar en beroep 1,01_HOOFD_180,procedure verandering,01_HOOFD_180,08/15/14 00:00,,,complete,2670601,2014-08-18T10:35:02+02:00,FALSE
8726860,ask stakeholders views,2670601,2013-12-10 00:00:00.000,Variant 146,146,8727562.0,J,560464.0,195.36525,,O,557669,8726859.0,Zaak afgehandeld,Bouw,True,,01_HOOFD_430,belanghebbenden zienswijzen vragen,01_HOOFD_430,12/10/13 00:00,,,complete,2670601,2013-12-11T15:19:35+01:00,FALSE
2817543,treat subcases completeness,560872,2011-03-04 12:30:14.000,Variant 168,168,2817552.0,J,560462.0,,Uitgebreid,G,557669,720164.0,Vergunning verleend,Milieu (vergunning),True,,01_HOOFD_110,behandelen deelzaken volledigheid,01_HOOFD_110,07/04/11 10:18,,,complete,560925,2011-01-11T12:51:16+01:00,EMPTY
4619896,send confirmation receipt,560925,2012-02-13 11:09:29.000,Variant 715,715,4620139.0,J,4901428.0,349.0863,,G,557669,,Vergunning verleend,Sloop,True,Termijn bezwaar en beroep 1,01_HOOFD_020,versturen ontvangstbevestiging,01_HOOFD_020,02/13/12 11:15,,,complete,3273854,,TRUE
5146211,procedure change after completeness,2670601,2012-07-23 14:42:15.000,Variant 806,806,5146752.0,J,4901428.0,5913.9824,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_196,procedureverandering na volledigheid,01_HOOFD_196,07/24/12 13:11,,,complete,2670601,2012-07-24T14:42:13+02:00,FALSE
11214970,send letter in progress,2670601,2014-10-01 00:00:00.000,Variant 250,250,11215171.0,,560464.0,137.2404,,O,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_200,brief in behandeling versturen,01_HOOFD_200,10/01/14 00:00,,,complete,2670601,2014-10-02T13:52:34+02:00,FALSE
6728358,procedure change after completeness,3273854,2013-04-02 12:29:21.000,Variant 928,928,6729578.0,J,560464.0,295.05,,O,557669,,Beschikking verzonden,Handelen in strijd met regels RO,True,Termijn bezwaar en beroep 1,01_HOOFD_196,procedureverandering na volledigheid,01_HOOFD_196,04/08/13 09:55,,,complete,3273854,2013-04-03T12:29:18+02:00,FALSE
4495310,procedure change,3273854,2012-01-30 15:22:22.000,Variant 688,688,4495693.0,J,560464.0,3690.5444,,O,557669,718990.0,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_180,procedure verandering,01_HOOFD_180,01/30/12 16:17,,,complete,3273854,2012-01-31T15:22:21+01:00,FALSE
2929114,terminate on request,560462,2011-02-10 10:45:49.000,Variant 170,170,,J,560872.0,553.008,Uitgebreid,G,557669,,Besluit onherroepelijk,Milieu (vergunning),True,,05_EIND_010,beeindigen op verzoek,05_EIND_010,04/11/13 11:40,,,complete,560462,2011-02-11T10:30:35+01:00,FALSE
7258136,coordination of application,560950,2013-11-07 00:00:00.000,Variant 127,127,7258497.0,J,4901428.0,,,G,557669,,Zaak afgehandeld,Milieu (omgevingsvergunning beperkte milieutoets),False,,13_CRD_010,coördinatie van toepassing,13_CRD_010,11/07/13 00:00,,,complete,560950,2013-11-08T12:20:17+01:00,FALSE
8273820,grounds for refusal,3273854,2013-10-22 00:00:00.000,Variant 1025,1025,8274080.0,J,560464.0,161.6031,,O,557669,,Beschikking verzonden,Bouw,False,Termijn bezwaar en beroep 1,01_HOOFD_380,weigeringsgrond,01_HOOFD_380,10/22/13 00:00,,,complete,3273854,2013-10-23T11:22:08+02:00,FALSE
4565008,appeal logded,560872,2014-08-07 00:00:00.000,Variant 181,181,4565231.0,J,560464.0,18883.705,Uitgebreid,O,557669,,Besluit onherroepelijk,"Milieu (vergunning),Handelen in strijd met regels RO,Bouw",False,,01_BB_630,beroep ingesteld,01_BB_630,08/07/14 00:00,,,complete,560950,2013-08-30T10:51:39+02:00,FALSE
3736131,request complete,3273854,2011-08-22 12:20:32.000,Variant 566,566,3736272.0,J,4901428.0,890.35974,,G,557669,3736130.0,Vergunning verleend,"Bouw,Handelen in strijd met regels RO",True,Termijn bezwaar en beroep 1,01_HOOFD_190,aanvraag volledig,01_HOOFD_190,08/22/11 12:20,,,complete,3273854,2011-08-23T12:20:30+02:00,TRUE
6224787,phase application received,560872,2012-11-22 11:45:08.000,Variant 887,887,6225448.0,J,560464.0,9991.067,,O,557669,,Beschikking verzonden,"Bouw,Handelen in strijd met regels RO",False,Termijn bezwaar en beroep 1,01_HOOFD_015,fase aanvraag ontvangen,01_HOOFD_015,11/22/12 11:45,,,complete,3273854,2012-11-23T11:45:08+01:00,EMPTY
8275156,enter senddate retrieve missing data,3273854,2013-10-14 14:57:58.000,Variant 135,135,8275297.0,J,560464.0,529.4883,,O,557669,,Zaak afgehandeld,Bouw,False,,08_AWB45_020_2,invoeren verzenddatum opvragen ontbrekende gegevens,08_AWB45_020_2,10/14/13 00:00,,,complete,3273854,2013-10-15T14:57:58+02:00,EMPTY
3985429,publish,560872,2011-10-20 13:11:34.000,Variant 610,610,,J,4901428.0,3361.1252,Uitgebreid,G,557669,,Besluit genomen,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_090,publiceren,01_HOOFD_090,10/20/11 13:12,,,complete,560872,2011-10-21T13:11:26+02:00,TRUE
2840219,objection lodged against decision,560872,2011-01-21 09:13:09.000,Variant 64,64,,N,560925.0,,,G,557669,,Advies bekend,Kap,True,,01_BB_540,bezwaar tegen beschikking ingediend,01_BB_540,01/21/11 09:13,,,complete,560925,2010-11-26T16:19:17+01:00,FALSE
4518489,phase advice known,3273854,2012-02-06 16:50:09.000,Variant 691,691,,J,4901428.0,151.5714,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_375,fase advies bekend,01_HOOFD_375,02/06/12 17:03,,,complete,560464,,EMPTY
3648178,send procedure confirmation,560912,2011-07-26 10:26:05.000,Variant 545,545,3648321.0,J,560464.0,29926.248,,O,557669,715996.0,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_065_1,procedurebevestiging versturen,01_HOOFD_065_1,07/26/11 10:26,,,complete,2670601,2011-07-27T10:25:48+02:00,EMPTY
6574954,date draft decision for inspection,560890,2013-11-07 00:00:00.000,Variant 189,189,6575095.0,J,560464.0,955.5405,,O,557669,,Zaak afgehandeld,Brandveilig gebruik (vergunning),True,,10_UOV_030,datum ontwerpbeschikking ter inzage,10_UOV_030,11/01/13 00:00,,,complete,560890,2013-11-02T09:02:41+01:00,EMPTY
8816378,creating environmental permit decision,560912,2014-05-13 00:00:00.000,Variant 198,198,8817180.0,J,560464.0,395.15625,Uitgebreid,O,557669,,Besluit onherroepelijk,"Monument,Bouw",True,,01_HOOFD_490_1,aanmaken besluit omgevingsvergunning,01_HOOFD_490_1,05/13/14 00:00,,,complete,560912,2014-05-14T17:28:09+02:00,EMPTY
9381889,creating cover letter decision,560912,2014-03-18 00:00:00.000,Variant 1057,1057,9382672.0,,560464.0,238.2318,,O,557669,715482.0,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_510_0,begeleidende brief beschikking aanmaken,01_HOOFD_510_0,03/18/14 00:00,,,complete,560912,2014-03-19T13:25:27+01:00,TRUE
6705233,enter senddate decision,560872,2013-02-25 00:00:00.000,Variant 121,121,,J,4901428.0,,,G,557669,,Zaak afgehandeld,Kap,True,,01_HOOFD_510_4,invoeren verzenddatum beschikking,01_HOOFD_510_4,02/14/13 11:12,,,complete,4676959,2013-02-15T11:12:39+01:00,EMPTY
6663791,treat subcase suspension art. 33 WABO,3273854,2013-02-04 15:44:51.000,Variant 120,120,6663932.0,J,560464.0,6998.08,,O,557669,,Zaak afgehandeld,"Milieu (vergunning),Bouw",True,,11_AH_II_070_1,behandelen deelzaak aanhouding 33 WABO,11_AH_II_070_1,02/04/13 15:45,,,complete,560950,2013-02-05T15:44:48+01:00,EMPTY
4804777,ask stakeholders views,3273854,2012-06-04 16:24:06.000,Variant 740,740,4806600.0,J,4901428.0,6720.379,Regulier,G,557669,4804776.0,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_430,belanghebbenden zienswijzen vragen,01_HOOFD_430,06/04/12 16:25,,,complete,3273854,2012-06-05T16:24:04+02:00,FALSE
3320493,enter senddate decision permanent suspension,560950,2011-07-19 00:00:00.000,Variant 457,457,3320939.0,N,560462.0,,Uitgebreid,G,557669,,Procedure afgebroken,"Milieu (vergunning),Bouw",True,Termijn ter inzage buiten behandeling,08_AWB45_090_2,invoeren verzenddatum beschikking buiten behandeling,08_AWB45_090_2,07/19/11 08:45,,,complete,560462,2011-07-19T11:25:56+02:00,EMPTY
3169326,grounds for refusal,3273854,2011-03-29 14:28:07.000,Variant 420,420,3169967.0,J,4901428.0,582.1505,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_380,weigeringsgrond,01_HOOFD_380,03/29/11 14:28,,,complete,560925,2011-03-30T14:28:06+02:00,FALSE
12237927,register submission date request,560872,2014-11-28 00:00:00.000,Variant 1,1,12239409.0,,4936828.0,,,O,557669,,Aanvraag ontvangen,Milieu (neutraal wijziging),True,Termijn tot besluit,01_HOOFD_010,registratie datum binnenkomst aanvraag,01_HOOFD_010,12/01/14 00:00,,2014-12-04T11:20:18+01:00,complete,560872,2014-12-02T11:20:18+01:00,EMPTY
5273430,article 34  WABO applies,3273854,2012-07-27 09:36:51.000,Variant 3,3,5273630.0,J,560464.0,893.6643,,O,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,09_AH_I_010,artikel 34 WABO van toepassing,09_AH_I_010,07/27/12 09:40,,,complete,3273854,2012-07-28T09:36:49+02:00,FALSE
8433385,read publication date field,560912,2014-01-30 00:00:00.000,Variant 140,140,,J,560464.0,3416.578,,O,557669,,Zaak afgehandeld,"Bouw,Handelen in strijd met regels RO",False,,01_HOOFD_809,veld datum publicatie uitlezen,01_HOOFD_809,01/30/14 00:00,,,complete,560912,2014-01-31T11:00:47+01:00,EMPTY
3833827,send letter in progress,2670601,2011-11-03 16:59:44.000,Variant 92,92,,J,4901428.0,399.582,,G,557669,,Vergunning verleend,Bouw,False,,01_HOOFD_200,brief in behandeling versturen,01_HOOFD_200,11/03/11 17:02,,,complete,2670601,2011-11-04T16:59:41+01:00,FALSE
4517870,phase application receptive,2670601,2012-04-03 10:48:41.000,Variant 690,690,4518012.0,J,4901428.0,8157.121,,G,557669,,Vergunning verleend,Bouw,False,Termijn bezwaar en beroep 1,01_HOOFD_195,fase aanvraag ontvankelijk,01_HOOFD_195,04/03/12 11:08,,,complete,560464,,EMPTY
2970345,phase procedure aborted,560925,2011-01-17 13:25:50.000,Variant 381,381,,J,560925.0,,,O,557669,,Procedure afgebroken,Bouw,True,,05_EIND_070,fase procedure afgebroken,05_EIND_070,01/17/11 13:26,,,complete,560925,,EMPTY
5295312,date decision for inspection,560890,2012-10-18 00:00:00.000,Variant 827,827,5295453.0,J,4901428.0,3258.3635,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_516,datum beschikking ter inzage,01_HOOFD_516,10/08/12 09:31,,,complete,560890,,EMPTY
12663845,regular procedure without MER,560912,2015-01-08 00:00:00.000,Variant 316,316,12663987.0,,560912.0,5019.306,,O,557669,12663844.0,Beschikking verzonden,Bouw,False,Termijn bezwaar en beroep 1,04_BPT_005,reguliere procedure zonder MER,04_BPT_005,01/08/15 00:00,,,complete,560912,2015-01-09T13:51:39+01:00,TRUE
2817543,phase application received,560925,2010-10-25 09:33:31.000,Variant 168,168,2817552.0,J,560462.0,,Uitgebreid,G,557669,720164.0,Vergunning verleend,Milieu (vergunning),True,,01_HOOFD_015,fase aanvraag ontvangen,01_HOOFD_015,07/04/11 10:18,,,complete,560462,,EMPTY
6436945,coordination of application,560890,2013-06-24 00:00:00.000,Variant 906,906,6437086.0,J,560464.0,16338.883,,O,557669,6436944.0,Beschikking verzonden,"Bouw,Handelen in strijd met regels RO",False,Termijn bezwaar en beroep 1,13_CRD_010,coördinatie van toepassing,13_CRD_010,06/24/13 00:00,,,complete,560890,2013-06-25T09:31:33+02:00,FALSE
7400998,procedure change,560462,2013-10-04 00:00:00.000,Variant 193,193,7401299.0,J,4901428.0,,Uitgebreid,G,557669,,Zaak afgehandeld,Milieu (vergunning),False,,01_HOOFD_330,procedure verandering,01_HOOFD_330,10/04/13 00:00,,,complete,560462,2013-10-05T11:40:49+02:00,FALSE
3168727,send confirmation receipt,560872,2011-02-17 14:28:09.000,Variant 418,418,3168748.0,J,4901428.0,1316.3613,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_030_1,versturen ontvangstbevestiging,01_HOOFD_030_1,02/17/11 14:28,,2011-02-19T14:26:47+01:00,complete,560872,2011-02-18T14:26:47+01:00,EMPTY
3837125,request complete,3273854,2011-09-13 13:22:35.000,Variant 580,580,,J,4901428.0,345.63,,G,557669,,Vergunning verleend,Sloop,True,Termijn bezwaar en beroep 1,01_HOOFD_190,aanvraag volledig,01_HOOFD_190,09/13/11 13:53,,,complete,3273854,2011-09-14T13:22:34+02:00,TRUE
3912651,generating decision environmental permit,560890,2012-01-23 08:37:51.000,Variant 597,597,,J,4901428.0,691.26,Uitgebreid,G,557669,,Vergunning verleend,"Sloop,Monument",False,Termijn bezwaar en beroep 1,01_HOOFD_490_2,genereren beschikking omgevingsvergunning,01_HOOFD_490_2,01/23/12 08:38,,,complete,560894,2012-01-24T08:37:37+01:00,EMPTY
2961386,phase application received,560925,2010-12-28 12:34:31.000,Variant 376,376,2961393.0,J,4901428.0,,,G,557669,,Vergunning verleend,Monument,True,,01_HOOFD_015,fase aanvraag ontvangen,01_HOOFD_015,12/28/10 12:36,,,complete,560464,,EMPTY
11672705,transcript decision environmental permit to stakeholders,560912,2015-02-10 00:00:00.000,Variant 270,270,11672847.0,,560912.0,520.59467,Uitgebreid,O,557669,,Beschikking verzonden,"Monument,Bouw",True,Termijn bezwaar en beroep 1,01_HOOFD_510_1,afschrift beschikking omgevingsvergunning aan belanghebbenden,01_HOOFD_510_1,02/10/15 00:00,,,complete,560912,2015-02-11T10:58:49+01:00,EMPTY
5829130,article 34  WABO applies,3273854,2012-10-02 15:48:00.000,Variant 853,853,5829271.0,J,4901428.0,177.9573,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,09_AH_I_010,artikel 34 WABO van toepassing,09_AH_I_010,10/02/12 15:48,,,complete,3273854,2012-10-03T15:47:59+02:00,FALSE
3971688,copy decision to extend procedure to stakeholders,3273854,2011-12-16 12:27:21.000,Variant 608,608,3971830.0,J,4901428.0,1132.4609,,G,557669,3971687.0,Vergunning verleend,"Bouw,Monument",True,Termijn bezwaar en beroep 1,06_VD_060_1,afschrift beschikking verlengen proceduretermijn aan belanghebbenden,06_VD_060_1,12/16/11 12:27,,,complete,560894,2011-12-17T12:27:19+01:00,EMPTY
11585113,enter senddate decision environmental permit,560890,2014-11-18 00:00:00.000,Variant 58,58,11585375.0,,560912.0,217.03035,,G,557669,11585112.0,Zaak afgehandeld,Aanleg (Uitvoeren werk of werkzaamheid),False,,01_HOOFD_510_3,invoeren verzenddatum beschikking omgevingsvergunning,01_HOOFD_510_3,11/18/14 00:00,,,complete,560912,2014-11-19T15:24:17+01:00,EMPTY
8090616,enter senddate draft decision,560890,2013-09-13 10:51:04.000,Variant 1014,1014,8091138.0,J,560464.0,1356.7495,,O,557669,7752013.0,Beschikking verzonden,"Monument,Bouw",True,Termijn bezwaar en beroep 1,10_UOV_050_4,invoeren verzenddatum ontwerpbeschikking,10_UOV_050_4,09/13/13 00:00,,,complete,3273854,2013-09-14T10:51:04+02:00,EMPTY
5257493,OLO messaging active,560925,2012-07-05 11:29:59.000,Variant 817,817,5257634.0,J,560464.0,197.5149,,O,557669,,Besluit onherroepelijk,Monument,True,Termijn tot besluit,01_HOOFD_011,OLO berichtenverkeer actief,01_HOOFD_011,07/05/12 11:31,,,complete,560881,2012-07-06T11:29:57+02:00,FALSE
12536197,phase decision sent,560890,2015-01-13 00:00:00.000,Variant 303,303,12536339.0,,560912.0,256.73566,,O,557669,12536196.0,Beschikking verzonden,"Bouw,Aanleg (Uitvoeren werk of werkzaamheid),Kap",True,Termijn bezwaar en beroep 1,01_HOOFD_515,fase beschikking verzonden,01_HOOFD_515,01/13/15 00:00,,,complete,2670601,2015-01-14T14:23:17+01:00,EMPTY
9047060,set decision phase decision permitting decided,2670601,2014-08-05 00:00:00.000,Variant 199,199,9047782.0,J,560912.0,504.5355,Uitgebreid,O,557669,9011175.0,Besluit onherroepelijk,Brandveilig gebruik (vergunning),True,,01_HOOFD_490_3a,instellen besluitfase:besluit vergunnen besloten,01_HOOFD_490_3a,08/04/14 00:00,,,complete,2670601,2014-08-05T11:05:39+02:00,EMPTY
5019310,procedure change,3273854,2012-05-29 10:39:30.000,Variant 777,777,5019451.0,J,4901428.0,3106.7922,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_330,procedure verandering,01_HOOFD_330,05/29/12 10:39,,,complete,3273854,,FALSE
2851738,phase application receptive,1898401,2010-12-21 14:25:42.000,Variant 343,343,,J,4901428.0,3996.7473,,G,557669,,Vergunning verleend,"Bouw,Milieu (vergunning)",True,,01_HOOFD_205,fase aanvraag ontvankelijk,01_HOOFD_205,09/08/11 13:44,,,complete,560464,,EMPTY
12341499,receive additional information,560872,2015-01-29 00:00:00.000,Variant 295,295,,,560912.0,679.41583,,O,557669,,Beschikking verzonden,"Bouw,Handelen in strijd met regels RO",False,Termijn bezwaar en beroep 1,08_AWB45_030,aanvullende gegevens ontvangen,08_AWB45_030,01/29/15 00:00,,,complete,2670601,2014-12-30T10:56:20+01:00,TRUE
2851738,grounds for refusal,560881,2011-02-22 11:34:00.000,Variant 343,343,,J,4901428.0,3996.7473,,G,557669,,Vergunning verleend,"Bouw,Milieu (vergunning)",True,,01_HOOFD_380,weigeringsgrond,01_HOOFD_380,09/08/11 13:44,,,complete,560912,2011-01-27T12:22:02+01:00,FALSE
10339356,transcript decision environmental permit to stakeholders,560912,2014-07-01 00:00:00.000,Variant 9,9,10339498.0,,4901428.0,157.09305,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_510_1,afschrift beschikking omgevingsvergunning aan belanghebbenden,01_HOOFD_510_1,07/01/14 00:00,,,complete,560912,2014-07-02T10:26:17+02:00,EMPTY
10548783,creating environmental permit decision,560872,2014-06-16 00:00:00.000,Variant 52,52,,,4901428.0,217.03035,,G,557669,,Zaak afgehandeld,Kap,True,,01_HOOFD_490_1,aanmaken besluit omgevingsvergunning,01_HOOFD_490_1,06/16/14 00:00,,,complete,4676959,2014-06-17T15:38:26+02:00,EMPTY
4064822,generate publication document decision environmental permit,560890,2011-11-15 11:00:09.000,Variant 632,632,,J,4901428.0,1805.4194,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_520,genereren publicatiedocument beschikking omgevingsvergunning,01_HOOFD_520,11/15/11 11:00,,,complete,560890,2011-11-16T11:00:07+01:00,EMPTY
8816378,read publication date field,560912,2014-07-22 00:00:00.000,Variant 198,198,8817180.0,J,560464.0,395.15625,Uitgebreid,O,557669,,Besluit onherroepelijk,"Monument,Bouw",True,,01_HOOFD_809c,veld datum publicatie uitlezen,01_HOOFD_809c,07/22/14 00:00,,,complete,560912,2014-07-23T14:31:41+02:00,EMPTY
4571002,article 34  WABO applies,2670601,2012-02-06 09:21:58.000,Variant 13,13,,J,560464.0,279.2859,,O,557669,,Vergunning verleend,Aanleg (Uitvoeren werk of werkzaamheid),True,Termijn bezwaar en beroep 1,09_AH_I_010,artikel 34 WABO van toepassing,09_AH_I_010,02/06/12 09:34,,,complete,2670601,2012-02-07T09:21:57+01:00,FALSE
5061832,generate publication document decision environmental permit,2670601,2012-07-11 12:33:10.000,Variant 785,785,5061993.0,J,560464.0,537.0753,,O,557669,5061831.0,Beschikking verzonden,"Monument,Handelen in strijd met regels RO",True,Termijn bezwaar en beroep 1,01_HOOFD_520,genereren publicatiedocument beschikking omgevingsvergunning,01_HOOFD_520,07/11/12 12:33,,,complete,2670601,,EMPTY
